candidate,law,return_low,return_high,threshold_scale,coupling,coupling_domain,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations,max_abs
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,nominal,71,0.02,1,0.9444444444444444,5.292,0.03837290846613716,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,erhoeht,11,0.02,1,1.0,5.266,0.036025498471410865,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,erhoeht,23,0.02,1,0.7222222222222222,4.975999999999999,0.05304295074358125,0.16666666666666666,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,erhoeht,37,0.02,1,0.8888888888888888,5.325,0.04543846917527566,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,erhoeht,53,0.02,1,0.7777777777777778,5.3100000000000005,0.051809064661684966,0.2777777777777778,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_absolut,konstant,0.8,0.8,1.0,0.34,absolut,erhoeht,71,0.02,1,0.7777777777777778,5.247,0.05029818517089657,0.05555555555555555,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,nominal,11,0.02,1,1.0,4.9830000000000005,0.021439938361402962,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,nominal,23,0.02,1,1.0,5.08,0.023377816347698612,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,nominal,37,0.02,1,1.0,5.129,0.024741230515256167,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,nominal,53,0.02,1,1.0,4.96,0.02254744158943737,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,nominal,71,0.02,1,1.0,5.203,0.026913760000572405,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,erhoeht,11,0.02,1,1.0,5.063000000000001,0.02431973778093598,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,erhoeht,23,0.02,1,1.0,5.358,0.032403105439661586,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,erhoeht,37,0.02,1,1.0,5.269,0.030668528279945807,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,erhoeht,53,0.02,1,1.0,5.052,0.02445661097044622,0.0,0,3.0
konstant_lo0.8_hi0.8_s1_k0.34_abweichung,konstant,0.8,0.8,1.0,0.34,abweichung,erhoeht,71,0.02,1,1.0,5.343,0.029580603969782626,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,nominal,11,0.02,1,1.0,3.403,0.005014394968478939,0.0,0,3.0
konstant_lo1.2_hi1.2_s1_k0_abweichung,konstant,1.2,1.2,1.0,0.0,abweichung,nominal,23,0.02,1,1.0,3.4459999999999997,0.004580494102815393,0.0,0,3.0
