model,family,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,101,0.01,0,1.0,2.73,0.00048755299653729185,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,131,0.02,1,1.0,2.6830000000000003,0.006055197826854518,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,131,0.02,0,1.0,2.68,0.0004334354714053969,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,131,0.01,0,1.0,2.7,0.0004598807928168867,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,167,0.02,1,1.0,2.7600000000000002,0.005717052778334583,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,167,0.02,0,1.0,2.74,0.000486663636850735,0.0,0
anisotrop_horizontal_d0.68_t0,anisotrop,erhoeht,167,0.01,0,1.0,2.77,0.0005166588788879309,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,101,0.02,1,1.0,2.543,0.0031906078672595045,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,101,0.02,0,1.0,2.56,0.0002119808134582223,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,101,0.01,0,1.0,2.58,0.00022873209400213845,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,131,0.02,1,1.0,2.56,0.0028490912837692553,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,131,0.02,0,1.0,2.56,0.00021540810597605613,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,131,0.01,0,1.0,2.58,0.00023234831172990543,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,167,0.02,1,1.0,2.483,0.0027385906011790145,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,167,0.02,0,1.0,2.5,0.0001706409971447057,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,nominal,167,0.01,0,1.0,2.52,0.00018471853042451229,0.0,0
anisotrop_horizontal_d0.68_t0.17,anisotrop,erhoeht,101,0.02,1,1.0,2.66,0.005361466996086627,0.0,0
