model,corner,seed,dt,dynamic_noise,return_rate,settling_time_p95,residual_p95,reexit_rate,attempted_violations
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,131,0.02,0,1.0,5.0,0.025810357409665842,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076318161751,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,167,0.02,1,1.0,5.265,0.03239309744882138,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,167,0.02,0,1.0,5.22,0.030769487284511995,0.0,0
zwei_zustaende_l0.8_s3.2_a0.25,erhoeht,167,0.01,0,1.0,5.24,0.03113827918751987,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,101,0.02,1,1.0,4.86,0.021690696660610582,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,101,0.02,0,1.0,4.86,0.021126786118018243,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620124982,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,131,0.02,1,1.0,4.66,0.018371161085665465,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,131,0.02,0,1.0,4.64,0.017434995303510715,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,131,0.01,0,1.0,4.6625,0.017758121415811002,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,167,0.02,1,1.0,4.74,0.019145995354106514,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,167,0.02,0,1.0,4.72,0.018813952205174324,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,nominal,167,0.01,0,1.0,4.7425,0.019153391860865444,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027926166355477594,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,101,0.02,0,1.0,5.04,0.0264355861461685,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.026795141901933994,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,131,0.02,1,1.0,5.045,0.028259147977679727,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,131,0.02,0,1.0,5.0,0.025810357409665842,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076318161751,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,167,0.02,1,1.0,5.265,0.03239309744882138,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,167,0.02,0,1.0,5.22,0.030769487284511995,0.0,0
zwei_zustaende_l0.8_s3.2_a0.5,erhoeht,167,0.01,0,1.0,5.24,0.03113827918751987,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,101,0.02,1,1.0,4.86,0.021690696660610582,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,101,0.02,0,1.0,4.86,0.021126786118018243,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620124982,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,131,0.02,1,1.0,4.66,0.018371161085665465,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,131,0.02,0,1.0,4.64,0.017434995303510715,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,131,0.01,0,1.0,4.6625,0.017758121415811002,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,167,0.02,1,1.0,4.74,0.019145995354106514,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,167,0.02,0,1.0,4.72,0.018813952205174324,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,nominal,167,0.01,0,1.0,4.7425,0.019153391860865444,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027926166355477594,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,101,0.02,0,1.0,5.04,0.0264355861461685,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.026795141901933994,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,131,0.02,1,1.0,5.045,0.028259147977679727,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,131,0.02,0,1.0,5.0,0.025810357409665842,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076318161751,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,167,0.02,1,1.0,5.265,0.03239309744882138,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,167,0.02,0,1.0,5.22,0.030769487284511995,0.0,0
zwei_zustaende_l0.8_s3.2_a0.75,erhoeht,167,0.01,0,1.0,5.24,0.03113827918751987,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,101,0.02,1,1.0,4.86,0.02167159201251974,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,101,0.02,0,1.0,4.86,0.021126786118011318,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620123812,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,131,0.02,1,1.0,4.66,0.01835753370567602,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,131,0.02,0,1.0,4.64,0.017434995303499495,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,131,0.01,0,1.0,4.6625,0.017758121415792524,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,167,0.02,1,1.0,4.74,0.019133360612539403,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,167,0.02,0,1.0,4.72,0.018813952204736167,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,nominal,167,0.01,0,1.0,4.7425,0.01915339186021886,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,101,0.02,1,1.0,5.0600000000000005,0.027902652027883817,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,101,0.02,0,1.0,5.04,0.026435586146150967,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,101,0.01,0,1.0,5.0600000000000005,0.02679514190190577,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,131,0.02,1,1.0,5.045,0.02822152983137694,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,131,0.02,0,1.0,5.0,0.02581035718529215,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,131,0.01,0,1.0,5.022500000000001,0.02616076289828216,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,167,0.02,1,1.0,5.265,0.032352626490022365,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,167,0.02,0,1.0,5.22,0.030769487284320014,0.0,0
zwei_zustaende_l0.8_s4.8_a0.25,erhoeht,167,0.01,0,1.0,5.24,0.031138279187232998,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,101,0.02,1,1.0,4.86,0.02167159201251974,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,101,0.02,0,1.0,4.86,0.021126786118011318,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,101,0.01,0,1.0,4.8725000000000005,0.02149604620123812,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,131,0.02,1,1.0,4.66,0.01835753370567602,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,131,0.02,0,1.0,4.64,0.017434995303499495,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,131,0.01,0,1.0,4.6625,0.017758121415792524,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,167,0.02,1,1.0,4.74,0.019133360612539403,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,167,0.02,0,1.0,4.72,0.018813952204736167,0.0,0
zwei_zustaende_l0.8_s4.8_a0.5,nominal,167,0.01,0,1.0,4.7425,0.01915339186021886,0.0,0
